base,success,status,message,result_blocks,lambda_expected,lambda_linprog,lambda_diff,active_expected,active_linprog,active_match,max_mechanism_diff
zlamal1\zlamal1_2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,5.690564,5.690573649479284,9.64947928405735e-06,1 22 53 82,1 22 53 82,True,9.38661637128746e-06
zlamal1\zlamal1_3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.463452,4.463460269704438,8.269704437680048e-06,5 26 55 82,5 26 55 82,True,1.2912185391122932e-05
zlamal1\zlamal1_4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.461267,4.46128059245264,1.359245263987674e-05,9 32 57 82,9 32 57 82,True,3.137057858282333e-05
zlamal1\zlamal1_5,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,4.799258,4.7993116878925175,5.36878925174733e-05,15 36 59 82,15 36 59 82,True,6.805333197235086e-05
zlamal1\zlamal1_6,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,7.152598,7.152740650851008,0.00014265085100806374,19 42 61 82,19 42 61 82,True,1.6361380752005772e-05
zlamal1\zlamal1_7,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,5.055816,5.0560153145220506,0.0001993145220504644,2 23 46 65,2 23 46 65,True,0.00019376034542695209
zlamal1\zlamal1_8,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.641455,4.641552418517649,9.741851764921705e-05,2 25 50 71,2 25 50 71,True,4.144828090435482e-05
zlamal1\zlamal1_9,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.297376,4.297396145559911,2.0145559910922373e-05,2 27 56 75,2 27 56 75,True,8.384572799613466e-06
zlamal2\zlamal2_1,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,8.765131,8.765167210806386,3.6210806385383876e-05,1 16 51 82,1 16 51 82,True,7.866940212597484e-06
zlamal2\zlamal2_10,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,5.251996,5.23981069711371,-0.01218530288628994,2 29 60 79,2 27 60 79,False,5.729645
zlamal2\zlamal2_11,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,7.027067,7.0268271855589575,-0.00023981444104226313,2 29 66 81,2 29 66 81,True,0.00010944868991469292
zlamal2\zlamal2_12,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4,17.69239,17.69239547212307,5.47212307111522e-06,2 33 74 81,2 33 74 81,True,0.0001460465552494128
zlamal2\zlamal2_2,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,5.690435,5.690541897664585,0.00010689766458504835,1 22 53 82,1 22 53 82,True,8.904847735635713e-06
zlamal2\zlamal2_3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.463379,4.463394722988164,1.5722988163879847e-05,5 26 55 82,5 26 55 82,True,7.500268599525128e-06
zlamal2\zlamal2_4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.461132,4.461250412480892,0.00011841248089172751,9 32 57 82,9 32 57 82,True,9.172501473031502e-06
zlamal2\zlamal2_5,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.79955,4.799322395063306,-0.00022760493669427007,15 36 59 82,15 36 59 82,True,0.00011640009693802966
zlamal2\zlamal2_6,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,7.15325,7.15306543072117,-0.00018456927883025998,19 42 61 82,19 42 61 82,True,0.00017673528324202437
zlamal2\zlamal2_7,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,5.05619,5.056042176646736,-0.0001478233532639095,2 23 46 65,2 23 46 65,True,2.6027170146214473e-05
zlamal2\zlamal2_8,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),3,4.641581,4.641401425628513,-0.00017957437148741207,2 25 50 71,2 25 50 71,True,6.77366181580652e-05
