input,status,error,joint,N,e,D,M,M_abs,reduction_factor,N_red,M_abs_red,txt,out,plot,arch_plot
klenba_3.in,OK,,10,88.138454,0.046397,0.14,-2.0803319297620004,2.0803319297620004,0.9988734363018548,88.03916041731296,2.077988303329838,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,11,87.99716,0.047166,0.14,-2.0093271514400004,2.0093271514400004,0.9988734363018548,87.89802559400411,2.0070635164134907,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,12,87.949036,0.048808,0.14,-1.863815970912001,1.863815970912001,0.9988734363018548,87.84995580875554,1.8617162634991482,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,13,87.993435,0.051314,0.14,-1.6442453264100008,1.6442453264100008,0.9988734363018548,87.8943047904539,1.6423929793144223,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,14,88.130426,0.054672,0.14,-1.3508631697280007,1.3508631697280007,0.9988734363018548,88.03114146136633,1.3493413363198237,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,15,88.360534,0.058872,0.14,-0.9832760223520005,0.9832760223520005,0.9988734363018548,88.26099023004687,0.9821682992799621,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,16,88.68518,0.063901,0.14,-0.5408909128200007,0.5408909128200007,0.9988734363018548,88.58527049564853,0.5402815647529611,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,17,89.106259,0.069748,0.14,-0.022454777268000197,0.022454777268000197,0.9988734363018548,89.00587512333307,0.022429480531080133,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,18,89.52833,0.076325,0.14,0.5662666872499997,0.5662666872499997,0.9988734363018548,89.42747063346643,0.5656287517566749,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,19,89.766529,0.08158,0.14,1.0394964058199994,1.0394964058199994,0.9988734363018548,89.6654012871201,1.0383253469048501,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
